Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
North America,Japan,Household,Offline,C,11/10/2017,557664370,12/06/2017,11067,681.68,606.97,7544152.56,6717336.99,826815.57
Europe,Mexico,Beverages,Offline,H,04/15/2016,664329717,04/24/2016,5875,513.15,408.46,3014756.25,2399702.5,615053.75
North America,Mexico,Office Supplies,Online,C,03/07/2015,187919694,03/14/2015,1879,568.21,451.02,1067666.59,847466.58,220200.01
Sub-Saharan Africa,Japan,Personal Care,Online,M,02/09/2023,941966458,03/10/2023,4538,356.18,309.68,1616344.84,1405327.84,211017
Central America and the Caribbean,Brazil,Meat,Online,M,03/27/2020,940781880,04/01/2020,10122,466.84,293.39,4725354.48,2969693.58,1755660.9
Middle East and North Africa,USA,Office Supplies,Offline,C,08/09/2012,713333271,08/20/2012,8399,230.73,181.01,1937901.27,1520302.99,417598.28
Australia and Oceania,France,Vegetables,Online,M,01/27/2021,924481612,02/22/2021,10492,464.36,398.67,4872065.12,4182845.64,689219.48
Middle East and North Africa,Japan,Meat,Offline,H,07/23/2010,619660048,08/13/2010,5517,344.3,226.77,1899503.1,1251090.09,648413.01
Australia and Oceania,Australia,Cosmetics,Offline,M,03/31/2020,641024259,04/25/2020,4486,91.6,72.5,410917.6,325235,85682.6
Asia,Japan,Office Supplies,Online,L,01/27/2012,833037906,01/30/2012,4250,396.57,316.98,1685422.5,1347165,338257.5
Sub-Saharan Africa,Kenya,Fruits,Online,M,11/30/2020,313480847,12/01/2020,10589,463.25,392.5,4905354.25,4156182.5,749171.75
Central America and the Caribbean,USA,Office Supplies,Online,M,08/15/2019,735174750,09/01/2019,5410,604.69,403.57,3271372.9,2183313.7,1088059.2
Sub-Saharan Africa,Kenya,Household,Offline,M,04/06/2015,475113539,05/06/2015,6298,454.47,337.51,2862252.06,2125637.98,736614.08
Central America and the Caribbean,Brazil,Baby Food,Online,C,10/11/2022,674147887,11/02/2022,2361,398.03,326.67,939748.83,771267.87,168480.96
Australia and Oceania,Germany,Clothes,Offline,H,11/28/2011,795087465,12/20/2011,419,653.15,493.11,273669.85,206613.09,67056.76
Europe,USA,Office Supplies,Online,L,12/31/2017,212554640,01/17/2018,7081,216.11,170.67,1530274.91,1208514.27,321760.64
Australia and Oceania,Mexico,Beverages,Offline,L,02/01/2018,757225212,02/04/2018,7237,627.28,454.45,4539625.36,3288854.65,1250770.71
Sub-Saharan Africa,France,Office Supplies,Offline,C,08/28/2017,258864730,09/01/2017,8926,656.81,435.81,5862686.06,3890040.06,1972646
Sub-Saharan Africa,Germany,Snacks,Online,M,08/31/2012,650296824,09/29/2012,2196,313.05,273.68,687457.8,601001.28,86456.52
Central America and the Caribbean,Brazil,Meat,Offline,L,07/17/2019,392286434,08/10/2019,6921,507.38,417.78,3511576.98,2891455.38,620121.6
Central America and the Caribbean,Brazil,Beverages,Online,H,11/28/2010,566804266,12/02/2010,829,211.18,142.51,175068.22,118140.79,56927.43
Sub-Saharan Africa,UAE,Meat,Online,H,02/15/2023,475460696,03/17/2023,1707,481.84,340.96,822500.88,582018.72,240482.16
Sub-Saharan Africa,USA,Snacks,Offline,H,04/25/2016,862811929,04/30/2016,357,519.33,453.96,185400.81,162063.72,23337.09
North America,USA,Vegetables,Offline,H,06/29/2022,603846242,07/02/2022,11512,77.96,49.46,897475.52,569383.52,328092
North America,Mexico,Baby Food,Online,M,07/08/2021,402246164,08/04/2021,11697,265.46,223.13,3105085.62,2609951.61,495134.01
North America,USA,Cosmetics,Offline,L,11/11/2018,774176959,11/28/2018,6868,512.77,333.03,3521704.36,2287250.04,1234454.32
Asia,USA,Fruits,Online,H,08/26/2016,779788947,09/18/2016,8261,604.54,422.24,4994104.94,3488124.64,1505980.3
Central America and the Caribbean,Japan,Office Supplies,Online,L,10/21/2013,222239562,11/10/2013,8894,211.96,169.88,1885172.24,1510912.72,374259.52
Sub-Saharan Africa,USA,Clothes,Online,M,07/20/2018,650994057,07/22/2018,11006,304.51,250.88,3351437.06,2761185.28,590251.78
Europe,India,Fruits,Online,C,04/15/2018,195424885,04/27/2018,5628,608.12,426.03,3422499.36,2397696.84,1024802.52
Australia and Oceania,USA,Cereal,Online,C,10/29/2013,135620062,11/26/2013,5775,289.42,222.95,1671400.5,1287536.25,383864.25
North America,Kenya,Office Supplies,Offline,C,07/08/2012,166534307,08/06/2012,11191,43.17,26.37,483115.47,295106.67,188008.8
Sub-Saharan Africa,Brazil,Meat,Offline,H,10/22/2022,530346333,11/20/2022,10099,404.7,275.16,4087065.3,2778840.84,1308224.46
Central America and the Caribbean,USA,Baby Food,Online,L,06/10/2022,591651445,06/24/2022,11672,433.87,388.56,5064130.64,4535272.32,528858.32
Australia and Oceania,Mexico,Vegetables,Online,L,10/15/2017,272411801,10/21/2017,3092,579.78,360.48,1792679.76,1114604.16,678075.6
Australia and Oceania,Germany,Office Supplies,Offline,H,09/02/2020,559167025,09/21/2020,5571,614.38,523.3,3422710.98,2915304.3,507406.68
Central America and the Caribbean,Germany,Personal Care,Offline,L,11/03/2018,769673847,11/29/2018,152,73.6,56.52,11187.2,8591.04,2596.16
Sub-Saharan Africa,Germany,Beverages,Offline,H,11/05/2021,497344614,11/12/2021,10778,672.84,532.79,7251869.52,5742410.62,1509458.9
Australia and Oceania,USA,Household,Online,C,11/05/2010,417647973,11/26/2010,4624,58.77,39.82,271752.48,184127.68,87624.8
Central America and the Caribbean,Brazil,Meat,Offline,L,03/03/2015,404103717,03/06/2015,7282,20.31,13.06,147897.42,95102.92,52794.5
Sub-Saharan Africa,India,Cereal,Offline,C,02/19/2022,363651952,02/21/2022,9813,503.62,409.3,4942023.06,4016460.9,925562.16
Middle East and North Africa,USA,Snacks,Offline,H,06/10/2018,228743622,06/17/2018,4446,282.11,216.9,1254261.06,964337.4,289923.66
North America,Brazil,Household,Online,L,02/01/2021,927502500,02/21/2021,8708,669.83,596.92,5832879.64,5197979.36,634900.28
North America,Mexico,Vegetables,Online,C,06/27/2023,606846164,07/12/2023,3435,547.07,457.04,1879185.45,1569932.4,309253.05
Central America and the Caribbean,India,Cereal,Offline,M,02/14/2021,331209480,03/01/2021,8977,649.98,440.47,5834870.46,3954099.19,1880771.27
Sub-Saharan Africa,USA,Cereal,Online,L,06/14/2011,859657099,06/20/2011,746,432.42,302.98,322585.32,226023.08,96562.24
North America,UAE,Snacks,Online,C,03/27/2010,763484543,03/29/2010,177,550.4,484.21,97420.8,85705.17,11715.63
Central America and the Caribbean,Mexico,Office Supplies,Online,M,05/29/2014,978715191,06/08/2014,3810,32.09,26.51,122262.9,101003.1,21259.8
Central America and the Caribbean,India,Beverages,Online,L,06/18/2016,185892098,07/18/2016,3981,555.71,367.47,2212281.51,1462898.07,749383.44
Europe,Australia,Vegetables,Online,H,08/31/2017,110748028,09/15/2017,7506,151.09,135.51,1134081.54,1017138.06,116943.48
Middle East and North Africa,UAE,Personal Care,Online,L,09/17/2015,969433911,09/28/2015,11225,388.46,262.61,4360463.5,2947797.25,1412666.25
Asia,Japan,Cereal,Offline,L,05/25/2017,364896191,05/31/2017,7636,525.78,336.04,4014856.08,2566001.44,1448854.64
Sub-Saharan Africa,Japan,Cereal,Online,H,06/17/2018,636447964,07/09/2018,2187,603.97,488.76,1320882.39,1068918.12,251964.27
North America,Mexico,Cosmetics,Offline,M,03/08/2016,203235609,03/24/2016,6496,178.01,136.1,1156352.96,884105.6,272247.36
Australia and Oceania,Germany,Snacks,Online,H,11/15/2022,630823319,11/30/2022,5999,65.11,45.01,390594.89,270014.99,120579.9
Central America and the Caribbean,USA,Office Supplies,Offline,H,01/25/2023,272079545,02/18/2023,9408,355.83,243.04,3347648.64,2286520.32,1061128.32
Sub-Saharan Africa,India,Fruits,Offline,M,03/25/2015,930359375,04/13/2015,2070,230.96,201.02,478087.2,416111.4,61975.8
Sub-Saharan Africa,Brazil,Personal Care,Offline,C,04/09/2022,338142242,04/19/2022,896,40.15,33.65,35974.4,30150.4,5824
Europe,Japan,Fruits,Online,C,01/23/2023,760593486,01/24/2023,284,177.2,146.24,50324.8,41532.16,8792.64
Australia and Oceania,Kenya,Fruits,Online,C,11/08/2021,323334682,11/17/2021,5342,165.97,104.65,886611.74,559040.3,327571.44
Europe,Japan,Cereal,Online,C,04/19/2022,533564399,04/20/2022,3862,296.85,189.82,1146434.7,733084.84,413349.86
Sub-Saharan Africa,Mexico,Clothes,Online,L,03/15/2012,447785175,04/14/2012,8281,261.88,210.11,2168628.28,1739920.91,428707.37
North America,Japan,Cereal,Online,C,10/08/2011,112405125,10/21/2011,8846,537.18,344.72,4751894.28,3049393.12,1702501.16
Australia and Oceania,USA,Office Supplies,Online,L,02/09/2019,693187658,02/14/2019,7343,584.98,508.37,4295508.14,3732960.91,562547.23
Australia and Oceania,France,Office Supplies,Offline,C,10/30/2018,643375840,11/19/2018,7144,682.96,439.68,4879066.24,3141073.92,1737992.32
Middle East and North Africa,Germany,Household,Offline,M,07/12/2019,506350523,07/31/2019,6461,268.69,237.31,1736006.09,1533259.91,202746.18
Sub-Saharan Africa,Germany,Household,Online,H,04/26/2019,973467379,05/08/2019,1400,300.83,186.18,421162,260652,160510
Australia and Oceania,Japan,Office Supplies,Offline,H,04/16/2016,123248323,05/07/2016,6320,450.22,401.2,2845390.4,2535584,309806.4
Australia and Oceania,France,Meat,Offline,H,04/13/2014,100399041,04/23/2014,2603,404.11,260.75,1051898.33,678732.25,373166.08
Asia,Australia,Cereal,Offline,M,11/24/2021,710509406,12/02/2021,691,377.8,235.66,261059.8,162841.06,98218.74
Middle East and North Africa,USA,Personal Care,Online,H,12/08/2013,701486493,12/19/2013,8273,148.85,96.51,1231436.05,798427.23,433008.82
North America,Kenya,Fruits,Online,C,08/06/2015,526977466,08/08/2015,4954,695.42,514.47,3445110.68,2548684.38,896426.3
Central America and the Caribbean,Germany,Office Supplies,Online,L,01/13/2015,706294538,01/28/2015,10027,197.71,157.81,1982438.17,1582360.87,400077.3
Asia,Germany,Office Supplies,Offline,C,08/14/2011,384581565,08/23/2011,3783,248.84,181.84,941361.72,687900.72,253461
North America,France,Cereal,Offline,L,06/12/2011,256581139,06/18/2011,1829,225.42,160.07,412293.18,292768.03,119525.15
Australia and Oceania,UAE,Personal Care,Online,C,05/13/2017,408885371,05/18/2017,3426,204.26,126.14,699794.76,432155.64,267639.12
Asia,Japan,Office Supplies,Online,L,11/26/2013,292426946,12/10/2013,5132,86.47,68.5,443764.04,351542,92222.04
North America,USA,Meat,Online,C,10/24/2011,137480736,10/28/2011,10024,575.45,469.42,5768310.8,4705466.08,1062844.72
Europe,France,Fruits,Offline,C,09/02/2017,310554757,09/16/2017,11889,251.52,182.05,2990321.28,2164392.45,825928.83
Sub-Saharan Africa,Japan,Meat,Online,C,05/01/2015,843726958,05/08/2015,6478,340.22,270.66,2203945.16,1753335.48,450609.68
Europe,Germany,Baby Food,Offline,L,07/04/2022,888899930,07/15/2022,11719,437.18,366.95,5123312.42,4300287.05,823025.37
Sub-Saharan Africa,Australia,Cosmetics,Offline,H,09/23/2019,723201624,10/21/2019,8668,589.32,514.54,5108225.76,4460032.72,648193.04
North America,USA,Vegetables,Online,C,05/22/2018,206260658,06/05/2018,9181,632.62,527.12,5808084.22,4839488.72,968595.5
Europe,India,Household,Offline,C,10/22/2015,456125440,10/27/2015,1540,428.86,381.39,660444.4,587340.6,73103.8
Australia and Oceania,Mexico,Household,Online,C,08/09/2014,995935125,08/22/2014,2335,272.22,172.1,635633.7,401853.5,233780.2
Central America and the Caribbean,France,Household,Online,L,12/03/2010,850853749,12/16/2010,8019,153.04,98.8,1227227.76,792277.2,434950.56
Sub-Saharan Africa,Mexico,Household,Offline,C,12/03/2022,665836142,12/18/2022,884,684.89,603.43,605442.76,533432.12,72010.64
Asia,Mexico,Personal Care,Online,L,03/13/2023,280028338,04/10/2023,10845,179.42,133.53,1945809.9,1448132.85,497677.05
Central America and the Caribbean,Mexico,Household,Online,C,10/22/2015,241879286,11/17/2015,11837,655.08,574.35,7754181.96,6798580.95,955601.01
North America,Brazil,Clothes,Offline,C,04/25/2020,184205159,04/29/2020,10661,295.29,263.47,3148086.69,2808853.67,339233.02
Sub-Saharan Africa,Germany,Office Supplies,Offline,M,08/12/2015,351922237,08/23/2015,1865,606.77,438.5,1131626.05,817802.5,313823.55
Europe,Brazil,Household,Offline,L,12/14/2013,833950022,01/04/2014,8560,674.45,602.23,5773292,5155088.8,618203.2
Europe,USA,Cosmetics,Online,M,07/24/2012,476642794,08/17/2012,3060,645.97,465.75,1976668.2,1425195,551473.2
Central America and the Caribbean,Australia,Cosmetics,Offline,H,06/21/2019,409134915,07/20/2019,8334,677.85,541.31,5649201.9,4511277.54,1137924.36
Middle East and North Africa,Japan,Household,Online,L,04/07/2012,195960103,05/05/2012,10120,104.13,70.99,1053795.6,718418.8,335376.8
North America,India,Meat,Online,H,02/02/2015,241061595,02/08/2015,7030,611.61,508.63,4299618.3,3575668.9,723949.4
Australia and Oceania,India,Office Supplies,Offline,M,11/06/2016,823686292,11/08/2016,4561,438.32,307.55,1999177.52,1402735.55,596441.97
Asia,Australia,Cosmetics,Online,M,07/08/2015,569296741,07/18/2015,10986,607.93,495.81,6678718.98,5446968.66,1231750.32
Middle East and North Africa,Mexico,Cosmetics,Offline,L,12/30/2017,976057693,01/03/2018,9088,344.09,270.22,3127089.92,2455759.36,671330.56
Europe,Japan,Meat,Online,H,12/29/2022,657123233,01/07/2023,5711,606.39,423.35,3463093.29,2417751.85,1045341.44
Europe,Australia,Vegetables,Offline,H,09/07/2021,387849984,09/26/2021,6315,293.39,243.56,1852757.85,1538081.4,314676.45
Asia,Mexico,Snacks,Offline,L,11/09/2021,256423898,12/08/2021,11360,16.08,11.03,182668.8,125300.8,57368
Middle East and North Africa,Brazil,Fruits,Online,M,11/08/2012,371446717,12/02/2012,1529,459.64,328.99,702789.56,503025.71,199763.85
Central America and the Caribbean,Mexico,Fruits,Offline,H,11/20/2016,338199389,12/14/2016,1824,98.27,65.81,179244.48,120037.44,59207.04
Australia and Oceania,Kenya,Personal Care,Online,C,06/15/2012,390733082,07/01/2012,4800,389.84,299.48,1871232,1437504,433728
Australia and Oceania,Germany,Vegetables,Online,H,06/08/2012,520358049,06/14/2012,150,376.35,227.04,56452.5,34056,22396.5
Central America and the Caribbean,UAE,Fruits,Online,C,04/01/2020,102231326,04/17/2020,3537,215.32,157.69,761586.84,557749.53,203837.31
Europe,UAE,Fruits,Offline,M,04/03/2010,826594658,04/20/2010,6732,337.18,221.25,2269895.76,1489455,780440.76
Central America and the Caribbean,Brazil,Cereal,Offline,L,08/19/2012,254332342,08/30/2012,3154,101.25,86.33,319342.5,272284.82,47057.68
Asia,Japan,Fruits,Offline,C,04/23/2013,573839110,04/25/2013,11839,570.14,398.25,6749887.46,4714881.75,2035005.71
Europe,Brazil,Vegetables,Offline,H,09/16/2016,293459865,09/22/2016,1670,461.82,342.94,771239.4,572709.8,198529.6
Middle East and North Africa,Brazil,Meat,Online,L,06/06/2018,153653035,06/24/2018,7894,406.17,303.54,3206305.98,2396144.76,810161.22
Asia,UAE,Meat,Offline,C,04/06/2011,754982236,05/04/2011,963,154.69,129.39,148966.47,124602.57,24363.9
Middle East and North Africa,Brazil,Household,Online,M,10/25/2011,625361362,11/10/2011,6474,538.83,340.13,3488385.42,2202001.62,1286383.8
Australia and Oceania,Germany,Household,Online,M,05/12/2023,844379842,05/27/2023,11239,244.63,209.82,2749396.57,2358166.98,391229.59
Middle East and North Africa,Japan,Personal Care,Online,M,09/27/2019,607682165,10/19/2019,3963,589.54,427.47,2336347.02,1694063.61,642283.41
Asia,Australia,Fruits,Online,C,04/14/2020,698342282,04/24/2020,5692,321.65,269.54,1830831.8,1534221.68,296610.12
Europe,Australia,Clothes,Online,M,12/16/2021,222376561,12/30/2021,5329,477.46,394.22,2544384.34,2100798.38,443585.96
Sub-Saharan Africa,India,Fruits,Offline,L,07/15/2018,589707843,08/06/2018,7657,247.1,190.54,1892044.7,1458964.78,433079.92
Australia and Oceania,UAE,Clothes,Online,H,01/25/2013,684418408,02/13/2013,5821,150.39,104.62,875420.19,608993.02,266427.17
Middle East and North Africa,Brazil,Cosmetics,Offline,L,01/04/2011,215822896,02/01/2011,475,575.62,437.64,273419.5,207879,65540.5
Asia,Mexico,Meat,Offline,C,12/18/2015,438166414,01/12/2016,2553,455.29,327.67,1162355.37,836541.51,325813.86
Central America and the Caribbean,Japan,Cereal,Offline,H,08/06/2018,345838202,08/26/2018,6425,164.78,114.96,1058711.5,738618,320093.5
Sub-Saharan Africa,Mexico,Baby Food,Offline,M,09/29/2013,498917769,10/17/2013,11402,270.98,176.74,3089713.96,2015189.48,1074524.48
Middle East and North Africa,USA,Vegetables,Offline,L,06/02/2011,852783390,06/04/2011,4224,435.45,270.92,1839340.8,1144366.08,694974.72
Asia,Kenya,Baby Food,Online,L,05/16/2012,766390787,05/30/2012,9631,696.63,515.11,6709243.53,4961024.41,1748219.12
North America,Mexico,Cosmetics,Online,H,11/17/2011,901767994,11/24/2011,2076,169.16,145.75,351176.16,302577,48599.16
Australia and Oceania,Germany,Household,Online,H,09/11/2020,182173094,10/07/2020,5080,165.71,103.61,841806.8,526338.8,315468
Asia,USA,Vegetables,Online,M,10/06/2015,722098536,10/24/2015,7335,681.15,488.18,4996235.25,3580800.3,1415434.95
Central America and the Caribbean,USA,Cereal,Online,C,02/12/2015,135835249,03/03/2015,11556,169.69,142.96,1960937.64,1652045.76,308891.88
North America,France,Office Supplies,Offline,C,02/10/2022,286906941,02/21/2022,11614,225.27,138.62,2616285.78,1609932.68,1006353.1
Sub-Saharan Africa,Australia,Household,Offline,L,12/17/2021,777124175,12/24/2021,10267,379.94,341.57,3900843.98,3506899.19,393944.79
Australia and Oceania,Japan,Vegetables,Online,C,10/29/2012,137467438,11/27/2012,2280,326.54,197.18,744511.2,449570.4,294940.8
Central America and the Caribbean,Australia,Vegetables,Online,H,11/28/2014,638005059,12/06/2014,664,42.18,31.56,28007.52,20955.84,7051.68
Central America and the Caribbean,Kenya,Clothes,Offline,M,01/26/2022,173807178,02/13/2022,11851,75.23,50.64,891550.73,600134.64,291416.09
Sub-Saharan Africa,USA,Beverages,Offline,M,08/30/2022,511197159,09/24/2022,5832,568.15,388.81,3313450.8,2267539.92,1045910.88
North America,India,Clothes,Online,H,09/04/2020,211545698,09/19/2020,4222,621.56,516.78,2624226.32,2181845.16,442381.16
Australia and Oceania,Japan,Clothes,Offline,H,03/31/2010,526077705,04/30/2010,4710,288.25,209.7,1357657.5,987687,369970.5
Australia and Oceania,India,Cereal,Online,M,02/20/2022,194021241,02/26/2022,3052,407.73,357.98,1244391.96,1092554.96,151837
Australia and Oceania,Kenya,Clothes,Online,M,05/08/2021,577455291,05/22/2021,4899,153.81,123.99,753515.19,607427.01,146088.18
Sub-Saharan Africa,Australia,Snacks,Offline,L,12/24/2020,248739569,12/29/2020,539,55.72,43.14,30033.08,23252.46,6780.62
Asia,Japan,Snacks,Offline,M,08/24/2019,346770542,09/14/2019,1748,167.73,139.68,293192.04,244160.64,49031.4
Asia,India,Vegetables,Offline,C,02/08/2016,402507267,02/21/2016,10887,402.2,243.93,4378751.4,2655665.91,1723085.49
Asia,Japan,Cosmetics,Offline,H,11/23/2015,581983880,11/27/2015,7119,564.74,470.13,4020384.06,3346855.47,673528.59
Middle East and North Africa,France,Office Supplies,Offline,L,12/16/2022,751535043,01/02/2023,9574,241.34,172.64,2310589.16,1652855.36,657733.8
North America,Germany,Cosmetics,Online,C,03/17/2014,653617002,04/11/2014,10484,595.07,426.4,6238713.88,4470377.6,1768336.28
Europe,India,Baby Food,Offline,M,01/18/2016,558620578,02/14/2016,3803,617.71,396.16,2349151.13,1506596.48,842554.65
Middle East and North Africa,Australia,Cosmetics,Offline,H,10/31/2010,597580899,11/26/2010,6913,462.58,322.48,3197815.54,2229304.24,968511.3
Australia and Oceania,Brazil,Fruits,Offline,C,02/25/2020,306329080,03/16/2020,11190,618.15,483.33,6917098.5,5408462.7,1508635.8
North America,USA,Clothes,Offline,C,11/06/2020,574976967,11/21/2020,8417,321.22,249.7,2703708.74,2101724.9,601983.84
Central America and the Caribbean,France,Beverages,Online,C,05/27/2020,450664612,06/19/2020,2475,135.99,90.29,336575.25,223467.75,113107.5
Central America and the Caribbean,India,Vegetables,Offline,C,03/28/2013,113868241,04/01/2013,6878,655.78,530.32,4510454.84,3647540.96,862913.88
Australia and Oceania,Mexico,Beverages,Offline,L,01/21/2017,692692861,02/16/2017,4286,579.9,499.63,2485451.4,2141414.18,344037.22
Middle East and North Africa,Germany,Office Supplies,Offline,H,09/06/2017,315648542,09/09/2017,5099,446.63,336.45,2277366.37,1715558.55,561807.82
Asia,Mexico,Vegetables,Offline,M,06/26/2015,191270274,07/10/2015,1235,44.35,39.7,54772.25,49029.5,5742.75
Middle East and North Africa,Brazil,Office Supplies,Offline,H,07/30/2011,247391663,08/23/2011,5211,64.23,50.65,334702.53,263937.15,70765.38
Europe,Mexico,Vegetables,Offline,C,03/03/2012,405459125,03/09/2012,1075,228.55,196.14,245691.25,210850.5,34840.75
Sub-Saharan Africa,Japan,Cereal,Offline,M,06/14/2020,685554824,06/16/2020,2343,243.63,176.64,570825.09,413867.52,156957.57
Central America and the Caribbean,Mexico,Meat,Online,L,06/28/2020,941251467,07/15/2020,6510,479.73,382.78,3123042.3,2491897.8,631144.5
Europe,UAE,Fruits,Online,L,06/09/2011,321740798,06/28/2011,389,315.29,248.82,122647.81,96790.98,25856.83
North America,India,Household,Online,H,08/22/2018,115444360,09/16/2018,5847,101.98,78.98,596277.06,461796.06,134481
Europe,Mexico,Clothes,Online,L,11/25/2019,490680558,11/28/2019,11141,376.11,310.47,4190241.51,3458946.27,731295.24
Central America and the Caribbean,Kenya,Fruits,Online,H,08/10/2012,302480984,08/19/2012,4835,367.53,290.78,1777007.55,1405921.3,371086.25
North America,Kenya,Household,Online,H,01/15/2021,712455813,01/27/2021,4435,172.43,130.47,764727.05,578634.45,186092.6
Sub-Saharan Africa,Germany,Beverages,Online,H,12/21/2014,676687642,12/29/2014,6789,20.2,12.72,137137.8,86356.08,50781.72
Europe,Kenya,Vegetables,Offline,M,04/09/2011,249729744,04/19/2011,4023,441.68,390.12,1776878.64,1569452.76,207425.88
Europe,Mexico,Meat,Online,H,04/07/2021,354903025,04/29/2021,1217,154.15,98,187600.55,119266,68334.55
Asia,Japan,Beverages,Offline,M,04/28/2012,413904295,05/02/2012,2544,292.55,182.71,744247.2,464814.24,279432.96
Central America and the Caribbean,India,Office Supplies,Offline,L,10/02/2018,530066866,10/11/2018,745,698.19,455.48,520151.55,339332.6,180818.95
Central America and the Caribbean,UAE,Baby Food,Offline,M,12/16/2020,368598124,12/28/2020,10235,402.68,274.06,4121429.8,2805004.1,1316425.7
Central America and the Caribbean,Australia,Meat,Offline,L,01/09/2010,347198838,01/29/2010,8159,285.75,215.96,2331434.25,1762017.64,569416.61
Europe,Australia,Household,Online,H,11/20/2017,281244575,11/29/2017,780,494.9,352.46,386022,274918.8,111103.2
Sub-Saharan Africa,France,Meat,Offline,M,03/13/2010,147048429,03/30/2010,7517,397.96,239.44,2991465.32,1799870.48,1191594.84
Central America and the Caribbean,UAE,Fruits,Online,H,12/28/2017,643918676,01/08/2018,988,381.29,332.14,376714.52,328154.32,48560.2
Europe,USA,Beverages,Offline,L,05/29/2019,750865046,06/12/2019,5579,513.72,313.23,2866043.88,1747510.17,1118533.71
Asia,Japan,Clothes,Online,M,12/30/2018,372475804,01/18/2019,3688,159.97,139.8,589969.36,515582.4,74386.96
Europe,USA,Fruits,Online,C,11/05/2022,119154226,11/25/2022,10434,220.11,176.87,2296627.74,1845461.58,451166.16
North America,Brazil,Clothes,Online,H,08/07/2012,708052021,08/14/2012,8015,10.16,7.39,81432.4,59230.85,22201.55
Europe,UAE,Baby Food,Offline,C,07/21/2010,378026208,08/02/2010,1213,409.69,319.76,496953.97,387868.88,109085.09
Australia and Oceania,Mexico,Fruits,Offline,M,05/08/2010,677359611,05/17/2010,10104,189.77,145.82,1917436.08,1473365.28,444070.8
Sub-Saharan Africa,Australia,Beverages,Offline,L,08/02/2018,972889846,08/05/2018,832,492.4,438.68,409676.8,364981.76,44695.04
North America,Japan,Clothes,Offline,C,12/14/2012,774607435,01/02/2013,4545,487.82,423.58,2217141.9,1925171.1,291970.8
Asia,France,Clothes,Offline,C,09/11/2016,125298520,09/24/2016,10173,628.06,517.8,6389254.38,5267579.4,1121674.98
Europe,Japan,Office Supplies,Offline,H,01/30/2012,964519184,02/20/2012,3105,437.31,301.31,1357847.55,935567.55,422280
Europe,France,Fruits,Online,L,09/04/2011,293493891,09/12/2011,6761,106.55,66.71,720384.55,451026.31,269358.24
Australia and Oceania,UAE,Beverages,Online,C,12/30/2022,881621769,01/24/2023,11565,193.46,170.32,2237364.9,1969750.8,267614.1
Sub-Saharan Africa,Germany,Clothes,Offline,M,03/27/2010,820513977,03/30/2010,7915,582.87,404.65,4613416.05,3202804.75,1410611.3
Middle East and North Africa,Kenya,Vegetables,Online,C,04/01/2021,667298650,04/02/2021,6976,172.98,136.43,1206708.48,951735.68,254972.8
Europe,Kenya,Meat,Offline,M,08/13/2015,834979423,09/02/2015,8460,327.81,292.55,2773272.6,2474973,298299.6
Asia,UAE,Office Supplies,Online,H,01/06/2015,872731668,01/29/2015,6225,544.59,421.98,3390072.75,2626825.5,763247.25
Asia,India,Beverages,Online,C,01/17/2016,694489689,01/27/2016,10790,392.04,315.19,4230111.6,3400900.1,829211.5
Asia,France,Beverages,Online,M,06/09/2011,467532196,07/06/2011,11089,210,148.24,2328690,1643833.36,684856.64
Central America and the Caribbean,Kenya,Office Supplies,Online,C,01/28/2013,547270193,01/29/2013,8021,411.11,279.07,3297513.31,2238420.47,1059092.84
Middle East and North Africa,Brazil,Cereal,Online,C,02/20/2020,789525486,03/10/2020,1336,481.53,290.93,643324.08,388682.48,254641.6
Asia,Brazil,Clothes,Online,C,12/05/2022,516423395,12/10/2022,9805,649.67,574.82,6370014.35,5636110.1,733904.25
North America,Australia,Beverages,Online,L,12/14/2013,930866599,12/26/2013,5974,572.19,480.21,3418263.06,2868774.54,549488.52
Middle East and North Africa,Japan,Household,Offline,C,04/24/2022,570877286,05/19/2022,4851,505.87,314.68,2453975.37,1526512.68,927462.69
Asia,Brazil,Cosmetics,Online,H,06/12/2023,378761721,07/04/2023,5466,163.76,131.88,895112.16,720856.08,174256.08
Europe,Brazil,Meat,Offline,C,09/30/2011,684980816,10/28/2011,2415,417.95,361.88,1009349.25,873940.2,135409.05
Sub-Saharan Africa,Australia,Cereal,Offline,L,11/25/2019,605586640,12/19/2019,3108,425.44,371.09,1322267.52,1153347.72,168919.8
Australia and Oceania,Germany,Vegetables,Online,L,07/13/2010,453390392,07/16/2010,11586,114.55,95.34,1327176.3,1104609.24,222567.06
Central America and the Caribbean,Brazil,Office Supplies,Offline,L,04/10/2015,452624212,05/03/2015,10963,36.97,26.54,405302.11,290958.02,114344.09
Europe,Brazil,Personal Care,Offline,L,06/30/2014,722145114,07/01/2014,1675,558.5,458.26,935487.5,767585.5,167902
Asia,Japan,Snacks,Online,C,10/11/2012,583620905,10/14/2012,10581,414.93,346.19,4390374.33,3663036.39,727337.94
Australia and Oceania,UAE,Office Supplies,Online,M,12/21/2016,200674304,01/02/2017,4411,63.5,42.18,280098.5,186055.98,94042.52
Europe,India,Cereal,Online,L,09/15/2015,780621623,10/05/2015,11453,429.1,341.21,4914482.3,3907878.13,1006604.17
